brand,store,fb_link,g_link
michael hill,Miranda,https://www.facebook.com/pages/category/Jewelry---Watches-Store/MichaelHillMiranda/photos/,"https://www.google.com.au/search?source=hp&ei=HnHLXcG4A5OKmgfSu7HgAg&q=michael+hill+Miranda&oq=michael+hill+Miranda&gs_l=psy-ab.3...4181.4270..4282...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjBv6O2mOblAhUTheYKHdJdDCwQ4dUDCAY&uact=5#lrd=0x6b12c78517603153:0x63bedd72ade6ede0,1,,,"
michael hill,Roselands,https://www.facebook.com/MichaelHillRoselands/,"https://www.google.com.au/search?source=hp&ei=KnHLXYrXArHYz7sPsKq0yAs&q=michael+hill+Roselands&oq=michael+hill+Roselands&gs_l=psy-ab.3...82.200..229...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiKlP-7mOblAhUx7HMBHTAVDbkQ4dUDCAY&uact=5#lrd=0x6b12b95ff016ccc9:0xaa3b91686e248962,1,,,"
michael hill,Warringah Mall,https://www.facebook.com/pages/category/Shopping-Mall/Michael-Hill-Warringah-Mall-219766038038040/,"https://www.google.com.au/search?source=hp&ei=LXHLXc23BZfB3LUP7pa9oAw&q=michael+hill+Warringah+Mall&oq=michael+hill+Warringah+Mall&gs_l=psy-ab.3...66.172..182...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiNgrm9mOblAhWXILcAHW5LD8QQ4dUDCAY&uact=5#lrd=0x6b12aa5d77a7445b:0x5a123e28621d6ba2,1,,,"
michael hill,Bankstown Square,https://www.facebook.com/MichaelHillBankstown/?rf=294831630609639,"https://www.google.com.au/search?source=hp&ei=MHHLXeSjBMLgz7sP0oC52AE&q=michael+hill+Bankstown+Square&oq=michael+hill+Bankstown+Square&gs_l=psy-ab.3...338.524..534...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjk--6-mOblAhVC8HMBHVJADhsQ4dUDCAY&uact=5#lrd=0x6b12bc0f3e9d06ed:0x470a783ab5dde425,1,,,"
michael hill,Burwood,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Burwood-Michael-Hill-629190863762132/,"https://www.google.com.au/search?source=hp&ei=M3HLXZuUB7KymgfK653oCQ&q=michael+hill+Burwood&oq=michael+hill+Burwood&gs_l=psy-ab.3...123.212..222...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjb-ajAmOblAhUymeYKHcp1B50Q4dUDCAY&uact=5#lrd=0x6b12badb22580ebb:0x8af5fb5327f61b76,1,,,"
michael hill,Hornsby,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Michael-Hill-Jewellers-1400229243617355/,"https://www.google.com.au/search?source=hp&ei=NnHLXZupA7GMmgf2rpaoBg&q=michael+hill+Hornsby&oq=michael+hill+Hornsby&gs_l=psy-ab.3...79.172..183...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwibnNzBmOblAhUxhuYKHXaXBWUQ4dUDCAY&uact=5#lrd=0x6b12a784139b8cd5:0xa6345450ecb2b48,1,,,"
michael hill,Hurstville,https://www.facebook.com/MichaelHillHurstville/,"https://www.google.com.au/search?source=hp&ei=OHHLXfyRN6zEz7sP4feA2Ac&q=michael+hill+Hurstville&oq=michael+hill+Hurstville&gs_l=psy-ab.3...50.195..204...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwj8jYrDmOblAhUs4nMBHeE7AHsQ4dUDCAY&uact=5#lrd=0x6b12b9a2b1e424af:0xd727dee7dde2d0f1,1,,,"
michael hill,East Gardens,https://www.facebook.com/MichaelHillEastgardens/?rf=133379136729447,"https://www.google.com.au/search?source=hp&ei=O3HLXdT9NczXz7sPxeC_sAY&q=michael+hill+East+Gardens&oq=michael+hill+East+Gardens&gs_l=psy-ab.3...103.291..312...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiUh8DEmOblAhXM63MBHUXwD2YQ4dUDCAY&uact=5#lrd=0x6b12b164d19d2869:0xd7298d5a6440bed9,1,,,"
michael hill,Southgate,https://www.facebook.com/southgatesylvania/photos/youre-invited-to-michael-hills-vip-night-at-southgate-shop-up-to-40-off-diamonds/1278685328871983/,"https://www.google.com.au/search?source=hp&ei=P3HLXbqGFP3B3LUPl56oqAo&q=michael+hill+Southgate&oq=michael+hill+Southgate&gs_l=psy-ab.3...69.203..255...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwj6oZLGmOblAhX9ILcAHRcPCqUQ4dUDCAY&uact=5#lrd=0x6b12b86879a37d21:0x775a417988ed7ee3,1,,,"
michael hill,Top Ryde,https://www.facebook.com/TopRydeCityShoppingCentre/posts/the-love-sale-is-on-now-at-michael-hill-visit-in-store-today-and-save-up-to-50-o/834202949967983/,"https://www.google.com.au/search?source=hp&ei=QnHLXfX6PKKEmgfUrYKoCA&q=michael+hill+Top+Ryde&oq=michael+hill+Top+Ryde&gs_l=psy-ab.3...80.201..212...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwj1o_LHmOblAhUiguYKHdSWAIUQ4dUDCAY&uact=5#lrd=0x6b12a5a54c1ee481:0x58083535ee935180,1,,,"
michael hill,Chatswood,https://business.facebook.com/MichaelHillChatswood/,"https://www.google.com.au/search?source=hp&ei=RXHLXZzfKf7Uz7sPzea8yAg&q=michael+hill+Chatswood&oq=michael+hill+Chatswood&gs_l=psy-ab.3...74.154..165...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjclZbJmOblAhV-6nMBHU0zD4kQ4dUDCAY&uact=5#lrd=0x6b12a8d44cf36dcf:0xf2dd1cdb34dd8903,1,,,"
michael hill,Broadway Mall,https://www.facebook.com/MichaelHillBroadway,"https://www.google.com.au/search?source=hp&ei=SHHLXYCXH7_Yz7sPr6iu0A8&q=michael+hill+Broadway+Mall&oq=michael+hill+Broadway+Mall&gs_l=psy-ab.3...78.227..252...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiA28LKmOblAhU_7HMBHS-UC_oQ4dUDCAY&uact=5#lrd=0x6b12ae265a2b43e7:0x6a2f94d0074b3286,1,,,"
michael hill,George St Sydney CBD,,"https://www.google.com.au/search?source=hp&ei=S3HLXdi_J6vCz7sP_5COyAY&q=michael+hill+George+St+Sydney+CBD&oq=michael+hill+George+St+Sydney+CBD&gs_l=psy-ab.3...88.225..261...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiYkYLMmOblAhUr4XMBHX-IA2kQ4dUDCAY&uact=5#lrd=0x6b12ae3e4d2d6fc5:0x3e9abdfaa106b01b,1,,,"
michael hill,Liverpool,https://www.facebook.com/MichaelHillLiverpool/,"https://www.google.com.au/search?source=hp&ei=T3HLXZbTB9LZz7sP99yNyAc&q=michael+hill+Liverpool&oq=michael+hill+Liverpool&gs_l=psy-ab.3...85.174..189...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjWttbNmOblAhXS7HMBHXduA3kQ4dUDCAY&uact=5#lrd=0x6b1295b8be576d0f:0xac70c1f785abd1be,1,,,"
michael hill,Castle Towers,https://www.facebook.com/MichaelHillCastleTowers/?rf=136032586485040,"https://www.google.com.au/search?source=hp&ei=UnHLXeC4A8bXz7sPkICd4As&q=michael+hill+Castle+Towers&oq=michael+hill+Castle+Towers&gs_l=psy-ab.3...97.263..276...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjgqYnPmOblAhXG63MBHRBAB7wQ4dUDCAY&uact=5#lrd=0x6b12a10c0050146b:0xc0a35ea7adfd179e,1,,,"
michael hill,Winston Hills,https://www.facebook.com/MichaelHillWinstonHills/,"https://www.google.com.au/search?source=hp&ei=VXHLXYTyBu7Vz7sPxrOcwAc&q=michael+hill+Winston+Hills&oq=michael+hill+Winston+Hills&gs_l=psy-ab.3...90.207..219...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjE8MPQmOblAhXu6nMBHcYZB3gQ4dUDCAY&uact=5#lrd=0x6b12a26ea8ca28ed:0x4b7aceb69596db51,1,,,"
michael hill,Merrylands,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Michael-Hill-Jeweller-Merrylands-447415775357386/,"https://www.google.com.au/search?source=hp&ei=V3HLXb_8OtL6z7sPupKToAI&q=michael+hill+Merrylands&oq=michael+hill+Merrylands&gs_l=psy-ab.3...105.312..323...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwj_g_LRmOblAhVS_XMBHTrJBCQQ4dUDCAY&uact=5#lrd=0x6b12bd2cd0a55ae9:0x8aca6ad3c97a4309,1,,,"
michael hill,Parramatta,https://www.facebook.com/MichaelHillParramatta/,"https://www.google.com.au/search?source=hp&ei=W3HLXfhX4sLctQ-KpYPQDA&q=michael+hill+Parramatta&oq=michael+hill+Parramatta&gs_l=psy-ab.3...83.269..280...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwi48avTmOblAhViIbcAHYrSAMoQ4dUDCAY&uact=5#lrd=0x6b12a3208c9aebfd:0xc796799d583fd7a3,1,,,"
michael hill,Erina Fair,,"https://www.google.com.au/search?source=hp&ei=XXHLXcnVN5rWz7sPovGNuA8&q=michael+hill+Erina+Fair&oq=michael+hill+Erina+Fair&gs_l=psy-ab.3...87.266..285...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiJ-NzUmOblAhUa63MBHaJ4A_cQ4dUDCAY&uact=5#lrd=0x6b72ca738d64d2c7:0xc93a4d779931f762,1,,,"
michael hill,Port Macquarie,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Michael-Hill-Port-Macquarie-471893193016884/,"https://www.google.com.au/search?source=hp&ei=YHHLXbDwKdSDmgfN44_IDQ&q=michael+hill+Port+Macquarie&oq=michael+hill+Port+Macquarie&gs_l=psy-ab.3...93.237..268...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiwoIbWmOblAhXUgeYKHc3xA9kQ4dUDCAY&uact=5#lrd=0x6b9dff1f745bb9f9:0x5a2666ad82657ac2,1,,,"
michael hill,Jesmond,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Michael-Hill-169787519718604/,"https://www.google.com.au/search?source=hp&ei=Y3HLXdKpKNzB3LUPoOSo-Aw&q=michael+hill+Jesmond&oq=michael+hill+Jesmond&gs_l=psy-ab.3...141.229..241...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiS57vXmOblAhXcILcAHSAyCs8Q4dUDCAY&uact=5#lrd=0x6b733e2de3a8f989:0xcfe06e0a0a3d48c5,1,,,"
michael hill,Tuggerah,https://www.facebook.com/pages/Michael-Hill-Jewellers-Tuggerah-Westfield/221246234751206,"https://www.google.com.au/search?source=hp&ei=ZnHLXeT9JoXWz7sPhJqN2AQ&q=michael+hill+Tuggerah&oq=michael+hill+Tuggerah&gs_l=psy-ab.3...93.203..216...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjkyPHYmOblAhUF63MBHQRNA0sQ4dUDCAY&uact=5#lrd=0x6b72cdddd5cf044d:0x1ea44c74b5e85d44,1,,,"
michael hill,Charlestown,https://www.facebook.com/MichaelHillCharlestown/,"https://www.google.com.au/search?source=hp&ei=anHLXdK-CJbSz7sP5fOT-A8&q=michael+hill+Charlestown&oq=michael+hill+Charlestown&gs_l=psy-ab.3...92.243..263...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjSm8famOblAhUW6XMBHeX5BP8Q4dUDCAY&uact=5#lrd=0x6b733df2986cc727:0xb45bf68ea6683af8,1,,,"
michael hill,Coffs Harbour,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Michael-Hill-Jeweller-1016218881781522/,"https://www.google.com.au/search?source=hp&ei=bXHLXZK4Bt_az7sP3ZOVoAs&q=michael+hill+Coffs+Harbour&oq=michael+hill+Coffs+Harbour&gs_l=psy-ab.3...82.282..293...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjSovzbmOblAhVf7XMBHd1JBbQQ4dUDCAY&uact=5#lrd=0x6b9c0c35ec5ee809:0xec2cb64f60b4e93a,1,,,"
michael hill,Dubbo,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Michael-Hill-Jewellery-313625238693385/,"https://www.google.com.au/search?source=hp&ei=b3HLXcqiMc3hz7sPj6iE2A4&q=michael+hill+Dubbo&oq=michael+hill+Dubbo&gs_l=psy-ab.3...135.203..214...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiKlqHdmOblAhXN8HMBHQ8UAesQ4dUDCAY&uact=5#lrd=0x6b0f71b29f3d50c1:0x159ab048c35d5789,1,,,"
michael hill,Tamworth,https://www.facebook.com/MichaelHillTamworth/,"https://www.google.com.au/search?source=hp&ei=cnHLXbiJIPOLmgfIi6CgDw&q=michael+hill+Tamworth&oq=michael+hill+Tamworth&gs_l=psy-ab.3...110.252..291...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwi4isfemOblAhXzheYKHcgFCPQQ4dUDCAY&uact=5#lrd=0x6b0a98cf1a3f0f8b:0x16da4ca2111523b6,1,,,"
michael hill,Maitland,https://www.facebook.com/Michael-Hill-Jewellers-116382331785631/?ref=nearby_places,"https://www.google.com.au/search?source=hp&ei=dXHLXZ3dEpbWz7sP4ZCS4As&q=michael+hill+Maitland&oq=michael+hill+Maitland&gs_l=psy-ab.3...84.165..174...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjd6_DfmOblAhUW63MBHWGIBLwQ4dUDCAY&uact=5#lrd=0x6b7346badf7ddc4b:0x923593d52123eee5,1,,,"
