brand,store,fb_link,g_link
midas,BROOKVALE,https://www.facebook.com/pages/category/Tire-Dealer---Repair-Shop/Midas-Tyres-Service-Centre-Brookvale-1464934873568306/,"https://www.google.com.au/search?source=hp&ei=cRTLXerNOODB3LUPtNCVmAI&q=midas+BROOKVALE&oq=midas+BROOKVALE&gs_l=psy-ab.3...907.968..978...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiqyt2FwOXlAhXgILcAHTRoBSMQ4dUDCAY&uact=5#lrd=0x6b12aa60c084b70f:0xa5300359027f71ef,1,,,"
midas,CAMPSIE,https://www.facebook.com/campsiemidas/?rf=381837528548964,"https://www.google.com.au/search?source=hp&ei=dhTLXYPdA9bcz7sP4fe9gAQ&q=midas+CAMPSIE&oq=midas+CAMPSIE&gs_l=psy-ab.3...35.87..97...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiD8NmHwOXlAhVW7nMBHeF7D0AQ4dUDCAY&uact=5#lrd=0x6b12ba4f6bc55f07:0x3eb1c5711d3409b6,1,,,"
midas,HORNSBY,https://www.facebook.com/pages/Midas-Hornby/125471640845520,"https://www.google.com.au/search?source=hp&ei=eRTLXdmXIMOcmgfQ1of4Ag&q=midas+HORNSBY&oq=midas+HORNSBY&gs_l=psy-ab.3...101.153..164...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiZuK2JwOXlAhVDjuYKHVDrAS8Q4dUDCAY&uact=5#lrd=0x6b12a786d90612e1:0x86a4b375ad1163ee,1,,,"
midas,WEST RYDE,https://www.facebook.com/westrydemidas/,"https://www.google.com.au/search?source=hp&ei=fRTLXZDND9jWz7sP-KWTwAY&q=midas+WEST+RYDE&oq=midas+WEST+RYDE&gs_l=psy-ab.3...65.149..164...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjQ_5CLwOXlAhVY63MBHfjSBGgQ4dUDCAY&uact=5#lrd=0x6b12a45abf5e24bb:0xbadb66eda36b19a1,1,,,"
midas,COOKS HILL,https://www.facebook.com/pages/Midas-Cooks-Hill/215145178507087,"https://www.google.com.au/search?source=hp&ei=fxTLXd-sM7Hgz7sP09Ws-Ac&q=midas+COOKS+HILL&oq=midas+COOKS+HILL&gs_l=psy-ab.3...47.111..120...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwif6K6MwOXlAhUx8HMBHdMqC38Q4dUDCAY&uact=5#lrd=0x6b731440f49dbca9:0x8b35158d94d9dc9,1,,,"
midas,CHATSWOOD,https://www.facebook.com/midaschatswood/,"https://www.google.com.au/search?source=hp&ei=ghTLXauSMIzTz7sPtM-9oAQ&q=midas+CHATSWOOD&oq=midas+CHATSWOOD&gs_l=psy-ab.3...56.113..124...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwir2-KNwOXlAhWM6XMBHbRnD0QQ4dUDCAY&uact=5#lrd=0x6b12af2c5d380f0f:0xae05f7d2379120c2,1,,,"
midas,BANKSTOWN,https://www.facebook.com/pages/category/Automotive-Repair-Shop/Midas-187176331345851/,"https://www.google.com.au/search?source=hp&ei=hRTLXcCFJcKGmgfLkLzgAg&q=midas+BANKSTOWN&oq=midas+BANKSTOWN&gs_l=psy-ab.3...58.118..129...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiA3I6PwOXlAhVCg-YKHUsIDywQ4dUDCAY&uact=5#lrd=0x6b91439d0e6ecee9:0x6b3de02ca76ce027,1,,,"
midas,BLACKTOWN,https://www.facebook.com/midasblacktown/,"https://www.google.com.au/search?source=hp&ei=iBTLXcXyFunZz7sPkeWa-Ao&q=midas+BLACKTOWN&oq=midas+BLACKTOWN&gs_l=psy-ab.3...53.114..124...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjF1reQwOXlAhXp7HMBHZGyBq8Q4dUDCAY&uact=5#lrd=0x6b1298e36011371f:0x2c62fdd4dfcb3e2e,1,,,"
midas,CAMPBELLTOWN,https://m.facebook.com/pages/category/Local-Business/Midas-109969879066589/,"https://www.google.com.au/search?source=hp&ei=ixTLXZmeBrSGmgeHs7SoBQ&q=midas+CAMPBELLTOWN&oq=midas+CAMPBELLTOWN&gs_l=psy-ab.3...50.129..183...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjZj96RwOXlAhU0g-YKHYcZDVUQ4dUDCAY&uact=5#lrd=0x6b12eef1550feb5b:0x773037507819d4ad,1,,,"
midas,CONCORD,https://www.facebook.com/pages/category/Automotive-Repair-Shop/MIDAS-Concord-277278535985809/,"https://www.google.com.au/search?source=hp&ei=jRTLXcupOqH7z7sP6OWZGA&q=midas+CONCORD&oq=midas+CONCORD&gs_l=psy-ab.3...101.186..197...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiLpIyTwOXlAhWh_XMBHehyBgMQ4dUDCAY&uact=5#lrd=0x808560d6b1b2dc4b:0xeb225e8855e1eb81,1,,,"
